2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
413,garrett camp,4.6,40,uber,canada,,,,,,
413,stanley druckenmiller,4.6,66,hedge funds,united states,investment,no,no,no,white,
413,tamara gustavson,4.6,57,self storage,united states,real estate,no,yes,yes,white,
413,pansy ho,4.6,56,casinos,hong kong,,,,,,
413,richard li,4.6,52,telecom,hong kong,,,,,,
413,sumner redstone,4.6,96,media,united states,media,no,no,no,white,jewish
413,martin viessmann,4.6,65,heating equipment,germany,,,,,,
413,les wexner,4.6,81,retail,united states,retail,yes,yes,no,white,jewish
413,zhang jin,4.6,47,diversified,china,,,,,,
424,rocco commisso,4.5,69,telecom,united states,television,no,no,no,white,
424,michael herz,4.5,75,coffee,germany,,,,,,
424,wolfgang herz,4.5,68,coffee,germany,,,,,,
424,sumet jiaravanon,4.5,84,diversified,thailand,,,,,,
424,vladimir kim,4.5,58,mining,kazakhstan,,,,,,
424,lars larsen,4.5,70,retail,denmark,,,,,,
424,terrence pegula,4.5,68,natural gas,united states,oil and gas,no,no,no,white,
424,sergei popov,4.5,47,banking,russia,,,,,,
424,mark scheinberg,4.5,45,online gambling,canada,,,,,,
424,walter scott,"jr""",4.5,88,"utilities, telecom",united states,construction,no,,,white
424,tahir,4.5,67,diversified,indonesia,,,,,,
424,zhang shiping,4.5,72,aluminum products,china,,,,,,
436,rahul bajaj,4.4,81,motorcycles,india,,,,,,
436,che jianxing,4.4,53,furniture retailing,china,,,,,,
436,chen bang,4.4,53,hospitals,china,,,,,,
436,jaran chiaravanont,4.4,89,diversified,thailand,,,,,,
436,kuldip singh & gurbachan singh dhingra,4.4,-,paints,india,,,,,,
436,montri jiaravanont,4.4,88,diversified,thailand,,,,,,
436,andrei kozitsyn,4.4,59,metals,russia,,,,,,
436,patrick lee,4.4,77,paper,hong kong,,,,,,
436,lim kok thay,4.4,67,casinos,malaysia,,,,,,
436,ajay piramal,4.4,63,pharmaceuticals,india,,,,,,
436,sarath ratanavadi,4.4,54,energy,thailand,,,,,,
436,john sall,4.4,71,software,united states,software,yes,no,no,white,
436,thomas schmidheiny,4.4,73,cement,switzerland,,,,,,
436,andreas struengmann,4.4,69,pharmaceuticals,germany,,,,,,
436,thomas struengmann,4.4,69,pharmaceuticals,germany,,,,,,
436,lucio tan,4.4,85,diversified,philippines,,,,,,
452,igor altushkin,4.3,48,metals,russia,,,,,,
452,jeronimo arango,4.3,93,retail,mexico,,,,,,
452,juan francisco beckmann vidal,4.3,79,tequila,mexico,,,,,,
452,chung mong-koo,4.3,81,hyundai,south korea,,,,,,
452,fan hongwei,4.3,52,petrochemicals,china,,,,,,
452,andrei guriev,4.3,59,fertilizers,russia,,,,,,
452,vikram lal,4.3,77,motorcycles,india,,,,,,
452,magdalena martullo-blocher,4.3,50,chemicals,switzerland,,,,,,
452,gwendolyn sontheim meyer,4.3,57,cargill,united states,heavy industry,no,yes,yes,white,
452,isaac perlmutter,4.3,76,marvel comics,united states,media,no,no,no,white,jewish
452,qin yinglin,4.3,54,pig breeding,china,,,,,,
452,trevor rees-jones,4.3,67,oil & gas,united states,oil and gas,yes,no,no,white,
452,julian robertson,"jr""",4.3,87,hedge funds,united states,investment,no,yes,no,white
452,kjell inge rokke,4.3,60,shipping,"seafood""",norway,,,,,
452,gary rollins,4.3,74,pest control,united states,pest control,no,yes,yes,white,
452,henry samueli,4.3,64,semiconductors,united states,computers,yes,no,no,white,jewish
452,jeff sutton,4.3,59,real estate,united states,real estate,no,no,no,white,jewish
452,wang chuanfu,4.3,53,batteries,"automobiles""",china,,,,,
452,wang yusuo,4.3,55,natural gas distribution,china,,,,,,
452,zhou hongyi,4.3,48,security software,china,,,,,,
472,stephen bisciotti,4.2,59,staffing,"baltimore ravens""",united states,misc,yes,no,no,white
472,rahel blocher,4.2,43,chemicals,switzerland,,,,,,
472,frits goldschmeding,4.2,85,temp agency,netherlands,,,,,,
472,rupert johnson,"jr""",4.2,78,money management,united states,finance,no,yes,yes,white
472,marc ladreit de lacharriere,4.2,78,finance,france,,,,,,
472,frank vandersloot,4.2,70,nutrition,"wellness products""",united states,consumer-direct,yes,no,no,white
478,richard branson,4.1,69,virgin,united kingdom,,,,,,
478,chen dongsheng,4.1,61,insurance,china,,,,,,
478,mark cuban,4.1,60,online media,united states,software,yes,no,no,white,
478,dagmar dolby,4.1,78,dolby laboratories,united states,computers,no,yes,yes,white,
478,paul gauselmann,4.1,84,gambling,germany,,,,,,
478,antti herlin,4.1,62,elevators,"escalators""",finland,,,,,
478,marian ilitch,4.1,86,little caesars,united states,restaurant,yes,no,no,white,
478,masatoshi ito,4.1,95,retail,japan,,,,,,
478,jeremy jacobs,"sr.""",4.1,79,food service,united states,food,no,yes,yes,white
478,micky jagtiani,4.1,67,retail,india,,,,,,
478,kwon hyuk-bin,4.1,45,online games,south korea,,,,,,
478,angela leong,4.1,58,casinos,hong kong,,,,,,
478,edwin leong,4.1,67,real estate,hong kong,,,,,,
478,shigenobu nagamori,4.1,74,motors,japan,,,,,,
478,adam neumann,4.1,40,wework,israel,,,,,,
478,xavier niel,4.1,51,internet,"telecom""",france,,,,,
478,axel oberwelland,4.1,52,candy,germany,,,,,,
478,h. ross perot,"sr.""",4.1,89,"computer services, real estate",united states,computers,yes,no,no,white
478,thomas pritzker,4.1,69,hotels,"investments""",united states,hotels,no,yes,yes,white
478,paolo & gianfelice mario rocca,4.1,-,pipe manufacturing,italy,,,,,,
478,carlos rodriguez-pastor,4.1,60,finance,peru,,,,,,
478,randall rollins,4.1,87,pest control,united states,misc,no,yes,yes,white,
478,fred smith,4.1,74,fedex,united states,logistics,yes,yes,no,white,
478,wang zhenhua,4.1,57,real estate,china,,,,,,
478,kelcy warren,4.1,63,pipelines,united states,heavy industry,yes,no,no,white,
478,russ weiner,4.1,49,energy drinks,united states,beverages,yes,yes,no,white,jewish
504,ben ashkenazy,4,49,real estate,united states,real estate,no,no,no,white,jewish
504,anthony bamford,4,73,construction equipment,united kingdom,,,,,,
504,bert beveridge,4,57,vodka,united states,alcohol,yes,no,no,white,
504,kapil & rahul bhatia,4,-,airlines,india,,,,,,
504,neil bluhm,4,81,real estate,united states,real estate,no,no,no,white,jewish
504,austen cargill,"ii.""",4,68,cargill,united states,heavy industry,no,yes,yes,white
504,james cargill,"ii.""",4,70,cargill,united states,heavy industry,no,yes,yes,white
504,rick caruso,4,60,real estate,united states,real estate,no,yes,yes,white,
504,andrew currie,4,63,chemicals,united kingdom,,,,,,
504,jack dangermond,4,73,mapping software,united states,software,yes,no,no,white,
504,fang wei,4,45,steel,china,,,,,,
504,dan friedkin,4,54,toyota dealerships,united states,auto,no,yes,yes,white,
504,john gandel,4,84,shopping malls,australia,,,,,,
504,tom gores,4,54,private equity,united states,investment,no,no,no,middle eastern,
504,reed hastings,4,58,netflix,united states,software,yes,no,no,white,
504,huang rulun,4,67,real estate,china,,,,,,
504,james leprino,4,81,cheese,united states,food,yes,no,no,white,
504,marianne liebmann,4,66,cargill,united states,heavy industry,no,yes,yes,white,
504,sudhir & samir mehta,4,-,diversified,india,,,,,,
504,denis o'brien,4,61,telecom,ireland,,,,,,
504,igor olenicoff,4,76,real estate,united states,real estate,no,no,no,white,russian
504,dan olsson,4,72,diversified,sweden,,,,,,
504,john reece,4,62,chemicals,united kingdom,,,,,,
504,jerry speyer,4,79,real estate,united states,real estate,yes,no,no,white,jewish
504,rita tong liu,4,71,real estate,hong kong,,,,,,
529,john brown,3.9,84,medical equipment,united states,healthcare,no,no,no,white,
529,hubert burda,3.9,79,publishing,germany,,,,,,
529,ashwin dani,3.9,76,paints,india,,,,,,
529,ronald lauder,3.9,75,estee lauder,united states,cosmetics,no,yes,yes,white,jewish
529,samuel tak lee,3.9,80,real estate,hong kong,,,,,,
529,liang wengen,3.9,62,construction equipment,china,,,,,,
529,lin li,3.9,56,investments,china,,,,,,
529,lin shu-hong,3.9,90,petrochemicals,taiwan,,,,,,
529,fredrik lundberg,3.9,67,real estate,"investments""",sweden,,,,,
529,gabe newell,3.9,56,videogames,united states,software,yes,no,no,white,
529,ravi pillai,3.9,65,construction,india,,,,,,
529,friede springer,3.9,76,publishing,germany,,,,,,
529,harry stine,3.9,77,agriculture,united states,heavy industry,yes,yes,no,white,
529,tony tan caktiong,3.9,66,food,philippines,,,,,,
529,yitzhak tshuva,3.9,71,real estate,israel,,,,,,
529,steven udvar-hazy,3.9,73,aircraft leasing,united states,aircraft,yes,no,no,white,hungarian
529,wang wenxue,3.9,52,real estate,china,,,,,,
546,anil agarwal,3.8,65,mining,"metals""",india,,,,,
546,giuseppe de'longhi,3.8,80,coffee makers,italy,,,,,,
546,gustaf douglas,3.8,81,investments,sweden,,,,,,
546,archie aldis emmerson,3.8,90,timberland,"lumber mills""",united states,heavy industry,yes,no,no,white
546,juan carlos escotet,3.8,59,banking,venezuela,,,,,,
546,jensen huang,3.8,56,semiconductors,united states,computers,yes,no,no,asian,
546,erman ilicak,3.8,51,construction,turkey,,,,,,
546,h. fisk johnson,3.8,61,cleaning products,united states,consumer goods,no,yes,yes,white,
546,s. curtis johnson,3.8,64,cleaning products,united states,consumer goods,no,yes,yes,white,
546,helen johnson-leipold,3.8,62,cleaning products,united states,consumer goods,no,yes,yes,white,
546,winifred johnson-marquart,3.8,60,cleaning products,united states,consumer goods,no,yes,yes,white,
546,viatcheslav kantor,3.8,65,fertilizer,"real estate""",russia,,,,,
546,barry lam,3.8,70,electronics,taiwan,,,,,,
546,ronald mcaulay,3.8,83,energy,hong kong,,,,,,
546,janice mcnair,3.8,82,energy,"sports""",united states,sport,no,yes,yes,white
546,henry nicholas,"iii.""",3.8,59,semiconductors,united states,computers,yes,no,no,white
546,julio ponce lerou,3.8,73,fertilizer,chile,,,,,,
546,ira rennert,3.8,85,investments,united states,investments,no,no,no,white,jewish
546,teddy sagi,3.8,47,gambling software,israel,,,,,,
546,roger wang,3.8,70,retail,united states,retail,yes,no,no,asian,
546,wei jianjun,3.8,55,automobiles,china,,,,,,
546,yao liangsong,3.8,54,furniture,china,,,,,,
568,nathan blecharczyk,3.7,36,airbnb,united states,software,yes,no,no,white,
568,alain bouchard,3.7,70,retail,canada,,,,,,
568,martin & olivier bouygues,3.7,-,construction,"media""",france,,,,,
568,brian chesky,3.7,37,airbnb,united states,software,yes,no,no,white,
568,barry diller,3.7,77,online media,united states,software,no,no,no,white,jewish
568,traudl engelhorn,3.7,92,pharmaceuticals,"medical equipment""",germany,,,,,
568,miguel fluxa rossello,3.7,80,hotels,spain,,,,,,
568,yakir gabay,3.7,53,real estate,cyprus,,,,,,
568,joe gebbia,3.7,37,airbnb,united states,software,yes,no,no,white,
568,mikhail gutseriev,3.7,61,oil,"real estate""",russia,,,,,
568,andreas halvorsen,3.7,58,hedge funds,norway,,,,,,
568,samvel karapetyan,3.7,53,real estate,russia,,,,,,
568,lai meisong,3.7,48,package delivery,china,,,,,,
568,douglas leone,3.7,62,venture capital,united states,investment,no,no,no,white,
568,li wa,3.7,53,real estate,hong kong,,,,,,
568,erwin franz mueller,3.7,86,drugstores,germany,,,,,,
568,theo mueller,3.7,79,dairy,germany,,,,,,
568,pan zhengmin,3.7,49,electronics,china,,,,,,
568,issad rebrab,3.7,75,food,algeria,,,,,,
568,wolfgang reimann,3.7,66,consumer goods,germany,,,,,,
568,matthias reimann-andersen,3.7,54,consumer goods,germany,,,,,,
568,stefan reimann-andersen,3.7,56,consumer goods,germany,,,,,,
568,renate reimann-haas,3.7,67,consumer goods,germany,,,,,,
568,richard schulze,3.7,78,best buy,united states,retail,yes,no,no,white,
568,steven spielberg,3.7,72,movies,united states,media,no,no,no,white,jewish
568,suh kyung-bae,3.7,56,cosmetics,south korea,,,,,,
568,chairul tanjung,3.7,57,diversified,indonesia,,,,,,
568,murat ulker,3.7,60,food,turkey,,,,,,
568,zhou jianping,3.7,59,fashion retail,china,,,,,,
597,brian acton,3.6,47,whatsapp,united states,software,yes,no,no,white,
597,hasmukh chudgar,3.6,85,pharmaceuticals,india,,,,,,
597,rafael del pino y calvo-sotelo,3.6,61,construction,spain,,,,,,
597,oleg deripaska,3.6,51,aluminum,"utilities""",russia,,,,,
597,judy faulkner,3.6,75,health it,united states,healthcare,yes,no,no,white,
597,jaime gilinski bacal,3.6,61,banking,colombia,,,,,,
597,peter hargreaves,3.6,72,financial services,united kingdom,,,,,,
597,lin bin,3.6,51,smartphones,united states,computers,yes,no,no,asian,
597,masahiro miki,3.6,63,shoes,japan,,,,,,
597,michael milken,3.6,73,investments,united states,investment,no,no,no,white,jewish
597,yuri milner,3.6,57,tech investments,russia,,,,,,
597,hans georg naeder,3.6,57,prosthetics,germany,,,,,,
597,james packer,3.6,51,casinos,australia,,,,,,
597,pankaj patel,3.6,66,pharmaceuticals,india,,,,,,
597,qiu guanghe,3.6,67,fashion retail,china,,,,,,
597,mitchell rales,3.6,62,manufacturing,"investments""",united states,heavy industry,no,yes,no,white
597,bernard saul,"ii.""",3.6,87,"banking, real estate",united states,real estate,no,yes,yes,white
597,donald sterling,3.6,85,real estate,united states,real estate,no,no,no,white,jewish
597,chip wilson,3.6,62,lululemon,canada,,,,,,
597,zhang xin & pan shiyi,3.6,53,real estate,china,,,,,,
617,andrej babis,3.5,64,agriculture,czech republic,,,,,,
617,ursula bechtolsheimer-kipp,3.5,67,retail,germany,,,,,,
617,chu mang yee,3.5,59,real estate,china,,,,,,
617,scott cook,3.5,66,software,united states,software,yes,no,no,white,
617,ralph dommermuth,3.5,55,internet service provider,germany,,,,,,
617,ken fisher,3.5,68,money management,united states,investment,no,yes,no,white,jewish
617,lindsay fox,3.5,82,logistics,"real estate""",australia,,,,,
617,sergei galitsky,3.5,51,retail,russia,,,,,,
617,tom golisano,3.5,77,payroll services,united states,services,yes,no,no,white,
617,philip & cristina green,3.5,67,fashion retail,united kingdom,,,,,,
617,martin haefner,3.5,65,software,"investments""",switzerland,,,,,
617,joshua harris,3.5,54,private equity,united states,investment,no,no,no,white,jewish
617,zarakh iliev,3.5,52,real estate,russia,,,,,,
617,edward johnson,"iv.""",3.5,54,money management,united states,finance,no,yes,yes,white
617,elizabeth johnson,3.5,56,money management,united states,finance,no,yes,yes,white,
617,min kao,3.5,70,navigation equipment,united states,computers,yes,no,no,asian,
617,li ge,3.5,52,biotech,united states,healthcare,yes,no,no,asian,
617,lu zhiqiang,3.5,66,real estate,china,,,,,,
617,kiran mazumdar-shaw,3.5,66,biotech,india,,,,,,
617,pawan munjal,3.5,65,motorcycles,india,,,,,,
617,nie tengyun,3.5,43,logistics,china,,,,,,
617,god nisanov,3.5,47,real estate,russia,,,,,,
617,akio nitori,3.5,75,home furnishings,japan,,,,,,
617,daniel och,3.5,58,hedge funds,united states,investment,no,no,no,white,jewish
617,prajogo pangestu,3.5,75,petrochemicals,indonesia,,,,,,
617,howard schultz,3.5,66,starbucks,united states,beverages,yes,no,no,white,jewish
617,shaul shani,3.5,64,telecom,israel,,,,,,
617,radovan vitek,3.5,48,real estate,czech republic,,,,,,
645,jose joao abdalla filho,3.4,74,investments,brazil,,,,,,
645,charles cohen,3.4,67,real estate,united states,real estate,no,yes,yes,white,jewish
645,ding shijia,3.4,55,sportswear,china,,,,,,
645,ding shizhong,3.4,48,sports apparel,china,,,,,,
645,murali divi,3.4,68,pharmaceuticals,india,,,,,,
645,jeff greene,3.4,64,real estate,"investments""",united states,real estate,no,no,no,white
645,jason jiang,3.4,46,advertising,china,,,,,,
645,peter kellogg,3.4,76,investments,united states,investment,no,yes,yes,white,
645,ken langone,3.4,83,investments,united states,investment,no,no,no,white,
645,lau cho kun,3.4,83,palm oil,"property""",malaysia,,,,,
645,arnon milchan,3.4,74,movie making,israel,,,,,,
645,katharina otto-bernstein,3.4,55,real estate,germany,,,,,,
645,rodger riney,3.4,73,discount brokerage,united states,finance,yes,no,no,white,
645,alejandro santo domingo,3.4,42,beer,united states,alcohol,no,yes,yes,latino,
645,andres santo domingo,3.4,41,beer,united states,alcohol,no,yes,yes,latino,
645,vivek chaand sehgal,3.4,62,auto parts,australia,,,,,,
645,herb simon,3.4,84,real estate,united states,real estate,no,no,no,white,jewish
645,jon stryker,3.4,61,medical equipment,united states,healthcare,no,yes,yes,white,
645,bulat utemuratov,3.4,61,mining,banking,"hotels""",kazakhstan,,,,
645,meg whitman,3.4,62,ebay,united states,software,no,no,no,white,
645,arne wilhelmsen,3.4,89,cruise ships,norway,,,,,,
645,zhang li,3.4,66,real estate,china,,,,,,
667,john arnold,3.3,45,hedge funds,united states,investment,no,no,no,white,
667,david bonderman,3.3,76,private equity,united states,investment,no,no,no,white,jewish
667,vanich chaiyawan,3.3,87,insurance,"beverages""",thailand,,,,,
667,pollyanna chu,3.3,61,financial services,hong kong,,,,,,
667,martin ebner,3.3,73,investments,switzerland,,,,,,
667,allan goldman,3.3,76,real estate,united states,real estate,no,yes,yes,white,jewish
667,jane goldman,3.3,63,real estate,united states,real estate,no,yes,yes,white,jewish
667,amy goldman fowler,3.3,65,real estate,united states,real estate,no,yes,yes,white,jewish
667,daniela herz,3.3,65,coffee,germany,,,,,,
667,guenter herz,3.3,78,coffee,germany,,,,,,
667,amos hostetter,"jr""",3.3,82,cable television,united states,television,yes,yes,no,white
667,huang shilin,3.3,52,batteries,china,,,,,,
667,arthur irving,3.3,89,oil,canada,,,,,,
667,diane kemper,3.3,73,real estate,united states,real estate,no,yes,yes,white,
667,joe mansueto,3.3,62,investment research,united states,finance,yes,no,no,white,
667,michael moritz,3.3,64,venture capital,united states,investment,no,no,no,white,jewish
667,jay paul,3.3,72,real estate,united states,real estate,no,no,no,white,
667,michael pieper,3.3,73,kitchen appliances,switzerland,,,,,,
667,prasert prasarttong-osoth,3.3,86,hospitals,thailand,,,,,,
667,anthony pritzker,3.3,58,hotels,"investments""",united states,hotel,no,yes,yes,white
667,nicolas puech,3.3,76,hermes,france,,,,,,
667,maria-elisabeth schaeffler-thumann,3.3,77,auto parts,germany,,,,,,
667,romesh t. wadhwani,3.3,71,software,united states,software,yes,no,no,indian,
667,zhang hongwei,3.3,64,oil,"banking""",china,,,,,
691,suhail bahwan,3.2,80,diversified,oman,,,,,,
691,sid bass,3.2,77,oil,"investments""",united states,oil and gas,no,yes,yes,white
691,cao longxiang,3.2,61,pharmaceuticals,china,,,,,,
691,jean-pierre cayard,3.2,76,spirits,france,,,,,,
691,chey tae-won,3.2,58,oil,"semiconductor""",south korea,,,,,
691,john coates,3.2,49,online gambling,united kingdom,,,,,,
691,antonio del valle ruiz,3.2,80,chemicals,mexico,,,,,,
691,luca garavoglia,3.2,50,spirits,italy,,,,,,
691,ernest garcia,"ii.""",3.2,62,used cars,united states,finance,yes,no,no,hispanic
691,igor kesaev,3.2,52,tobacco distribution,"retail""",russia,,,,,
691,jane lauder,3.2,46,cosmetics,united states,cosmetics,no,yes,yes,white,
691,liu zhongtian,3.2,55,aluminum products,china,,,,,,
691,lu zhongfang,3.2,76,automobile service,china,,,,,,
691,vincent mcmahon,3.2,73,entertainment,united states,sports,no,yes,no,white,
691,maren otto,3.2,-,retail,"real estate""",germany,,,,,
691,alexander ponomarenko,3.2,54,real estate,"airport""",russia,,,,,
691,j.b. pritzker,3.2,54,hotels,"investments""",united states,hotel,no,yes,yes,white
691,dirk rossmann,3.2,72,drugstores,germany,,,,,,
691,lynn schusterman,3.2,80,oil & gas,"investments""",united states,oil and gas,no,yes,yes,white
691,mark shoen,3.2,68,u-haul,united states,logistics,no,yes,yes,white,
691,paul singer,3.2,74,hedge funds,united states,investment,no,no,no,white,jewish
691,alexander skorobogatko,3.2,51,real estate,"airport""",russia,,,,,
691,michal solowow,3.2,57,investments,poland,,,,,,
691,yu yong,3.2,58,mining,china,,,,,,
715,clifford asness,3.1,52,investment management,united states,finance,yes,no,no,white,jewish
715,carl bennet,3.1,67,investments,sweden,,,,,,
715,alejandro bulgheroni,3.1,74,oil & gas,argentina,,,,,,
715,john catsimatidis,3.1,70,oil,"real estate""",united states,retail,yes,no,no,white
715,richard chandler,3.1,60,investments,new zealand,,,,,,
715,mahendra choksi,3.1,78,paints,india,,,,,,
715,chase coleman,"iii.""",3.1,44,hedge fund,united states,investment,no,yes,no,white
715,abilio dos santos diniz,3.1,82,retail,brazil,,,,,,
715,bernard ecclestone,3.1,88,formula one,united kingdom,,,,,,
715,don hankey,3.1,76,auto loans,united states,finance,no,yes,no,white,
715,christopher hohn,3.1,52,hedge funds,united kingdom,,,,,,
715,heidi horten,3.1,78,retail,austria,,,,,,
715,huang chulong,3.1,60,real estate,canada,,,,,,
715,daryl katz,3.1,57,pharmacies,canada,,,,,,
715,karel komarek,3.1,50,lotteries,czech republic,,,,,,
715,timur kulibaev,3.1,52,banking,kazakhstan,,,,,,
715,dinara kulibaeva,3.1,51,banking,kazakhstan,,,,,,
715,li sze lim,3.1,62,real estate,hong kong,,,,,,
715,john middleton,3.1,64,tobacco,united states,retail,no,yes,yes,white,
715,elisabeth mohn,3.1,78,publishing,germany,,,,,,
715,fernando roberto moreira salles,3.1,73,banking,"minerals""",brazil,,,,,
715,joao moreira salles,3.1,57,banking,"minerals""",brazil,,,,,
715,pedro moreira salles,3.1,59,banking,"minerals""",brazil,,,,,
715,walther moreira salles junior,3.1,63,banking,"minerals""",brazil,,,,,
715,jean (gigi) pritzker,3.1,57,hotels,"investments""",united states,hotels,no,yes,yes,white
715,gil shwed,3.1,51,software,israel,,,,,,
715,kerry stokes,3.1,78,construction equipment,"media""",australia,,,,,
715,donald trump,3.1,73,television,"real estate""",united states,real estate,no,yes,yes,white
715,don vultaggio,3.1,67,arizona beverages,united states,beverages,yes,no,no,white,
715,mark walter,3.1,59,finance,united states,finance,yes,no,no,white,
745,juergen blickle,3,72,auto parts,germany,,,,,,
745,jim breyer,3,57,venture capital,united states,investment,no,no,no,white,jewish
745,do won & jin sook chang,3,63,fashion retail,united states,retail,yes,no,no,asian,
745,pierre chen,3,62,electronics,taiwan,,,,,,
745,leon g. cooperman,3,76,hedge funds,united states,investment,no,no,no,white,jewish
745,andre esteves,3,51,banking,brazil,,,,,,
745,bob gaglardi,3,78,hotels,canada,,,,,,
745,jeffery hildebrand,3,60,oil,united states,oil and gas,yes,no,no,white,
745,james jannard,3,70,sunglasses,united states,sunglasses,yes,no,no,white,
745,kwek leng beng,3,78,real estate,singapore,,,,,,
745,guenther lehmann,3,-,drugstores,germany,,,,,,
745,joseph liemandt,3,50,software,united states,software,yes,no,no,white,
745,rudolf maag,3,73,medical devices,switzerland,,,,,,
745,arturo moreno,3,72,billboards,"anaheim angels""",united states,billboards,yes,yes,no,latino
745,georg nemetschek,3,85,software,germany,,,,,,
745,horst paulmann,3,84,retail,chile,,,,,,
745,alberto roemmers,3,92,pharmaceuticals,argentina,,,,,,
745,juan roig,3,69,supermarkets,spain,,,,,,
745,marc rowan,3,56,private equity,united states,investment,yes,no,no,white,jewish
745,michael rubin,3,46,online retail,united states,software,yes,no,no,white,jewish
745,patrick ryan,3,82,insurance,united states,finance,yes,yes,no,white,
745,alvaro saieh bendeck,3,69,banking,chile,,,,,,
745,lynsi snyder,3,37,in-n-out burger,united states,restaurant,no,yes,yes,white,
745,david steward,3,68,it provider,united states,computers,yes,no,no,black,
745,georg stumpf,3,46,real estate,"construction""",austria,,,,,
745,hans peter wild,3,78,flavorings,switzerland,,,,,,
745,gustav magnar witzoe,3,26,fish farming,norway,,,,,,
745,steve wynn,3,77,casinos,"hotels""",united states,casinos,yes,yes,no,white
745,christoph zeller,3,62,dental implants,liechtenstein,,,,,,
745,zhou qunfei,3,49,smartphone screens,hong kong,,,,,,
775,ramon ang,2.9,65,diversified,philippines,,,,,,
775,michael ashley,2.9,54,sports retailing,united kingdom,,,,,,
775,yvonne bauer,2.9,42,media,germany,,,,,,
775,anne beaufour,2.9,55,pharmaceuticals,france,,,,,,
775,henri beaufour,2.9,54,pharmaceuticals,france,,,,,,
775,gayle benson,2.9,72,pro sports teams,united states,finance,no,yes,yes,white,
775,timothy boyle,2.9,69,columbia sportswear,united states,fashion,no,yes,no,white,
775,nick caporella,2.9,83,beverages,united states,beverages,yes,no,no,white,
775,cheng xue,2.9,49,soy sauce,china,,,,,,
775,edward debartolo,"jr""",2.9,72,shopping centers,united states,real estate,no,yes,no,white
775,rakesh gangwal,2.9,65,airline,united states,airline,yes,no,no,indian,
775,peter gilgan,2.9,68,homebuilding,canada,,,,,,
775,daniel kretinsky,2.9,44,energy generation,czech republic,,,,,,
775,geoffrey kwok,2.9,34,real estate,hong kong,,,,,,
775,martin lorentzon,2.9,50,spotify,sweden,,,,,,
775,luo jye,2.9,93,tires,taiwan,,,,,,
775,miguel mckelvey,2.9,45,wework,united states,real estate,yes,no,no,white,
775,tom morris,2.9,64,retail,united kingdom,,,,,,
775,chandru raheja,2.9,78,real estate,india,,,,,,
775,naguib sawiris,2.9,65,telecom,egypt,,,,,,
775,thomas siebel,2.9,66,business software,united states,software,yes,no,no,white,
775,charles simonyi,2.9,70,microsoft,united states,software,no,no,no,white,
775,thomas straumann,2.9,55,dental implants,switzerland,,,,,,
775,su hua,2.9,37,video streaming,china,,,,,,
775,tsai hong-tu,2.9,66,finance,taiwan,,,,,,
775,richard tsai,2.9,62,finance,taiwan,,,,,,
775,tung chee chen,2.9,76,shipping,hong kong,,,,,,
775,wang linpeng,2.9,51,furniture retailing,china,,,,,,
775,mortimer zuckerman,2.9,82,real estate,"media""",united states,real estate,no,yes,no,white
804,patrizio bertelli,2.8,73,luxury goods,italy,,,,,,
804,jim davis,2.8,59,staffing & recruiting,united states,services,yes,no,no,white,
804,fong yun wah,2.8,94,real estate,hong kong,,,,,,
804,geng jianming,2.8,56,real estate,china,,,,,,
804,jonathan gray,2.8,49,investments,united states,investment,no,yes,yes,white,jewish
804,vinod & anil rai gupta,2.8,-,electrical equipment,india,,,,,,
804,thomas hagen,2.8,83,insurance,united states,finance,no,yes,yes,white,
804,b. wayne hughes,2.8,85,self storage,united states,real estate,yes,?,no,white,
804,johnelle hunt,2.8,87,trucking,united states,logistics,no,yes,yes,white,
804,hedda im brahm-droege,2.8,64,consulting,germany,,,,,,
804,rakesh jhunjhunwala,2.8,59,investments,india,,,,,,
804,dmitry kamenshchik,2.8,51,airport,russia,,,,,,
804,raj kumar & kishin rk,2.8,65,real estate,singapore,,,,,,
804,lim sung-ki,2.8,79,pharmaceuticals,south korea,,,,,,
804,mangal prabhat lodha,2.8,63,real estate,india,,,,,,
804,daniel loeb,2.8,57,hedge funds,united states,investment,no,yes,no,white,jewish
804,luo liguo,2.8,63,chemicals,china,,,,,,
804,mary alice dorrance malone,2.8,69,campbell soup,united states,food,no,yes,yes,white,
804,kalanithi maran,2.8,53,media,india,,,,,,
804,philip niarchos,2.8,65,art collection,greece,,,,,,
804,richard peery,2.8,80,real estate,united states,real estate,no,yes,no,white,
804,sebastian piñera,2.8,69,investments,chile,,,,,,
804,miuccia prada,2.8,70,luxury goods,italy,,,,,,
804,p.v. ramprasad reddy,2.8,61,pharmaceuticals,india,,,,,,
804,j. joe ricketts,2.8,78,td ameritrade,united states,finance,yes,no,no,white,
804,shashi & ravi ruia,2.8,-,diversified,india,,,,,,
804,haim saban,2.8,74,tv network,"investments""",united states,media,yes,no,no,middle eastern
804,thomas secunda,2.8,65,bloomberg lp,united states,finance,yes,no,no,white,jewish
804,b.r. shetty,2.8,77,healthcare,india,,,,,,
804,glen taylor,2.8,78,printing,united states,misc,yes,?,no,white,
804,tsai cheng-ta,2.8,69,finance,taiwan,,,,,,
804,tse ping,2.8,67,pharmaceuticals,china,,,,,,
804,william wrigley,"jr""",2.8,55,chewing gum,united states,food,no,yes,yes,white
804,zhang xuexin,2.8,72,aluminum,china,,,,,,
