2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
91,li shufu,13.6,56,automobiles,china,,,,,,
91,lakshmi mittal,13.6,69,steel,india,,,,,,
91,heinz hermann thiele,13.6,78,brakes,germany,,,,,,
94,colin huang,13.5,39,e-commerce,china,,,,,,
94,hasso plattner,13.5,75,software,germany,,,,,,
96,dietmar hopp,13.4,79,software,germany,,,,,,
96,georg schaeffler,13.4,54,auto parts,germany,,,,,,
98,german larrea mota velasco,13.3,65,mining,mexico,,,,,,
98,zhang zhidong,13.3,47,internet media,china,,,,,,
100,stephen schwarzman,13.2,72,investments,united states,investment,no,no,no,white,jewish
101,steve cohen,12.9,63,hedge funds,united states,investment,no,no,no,white,jewish
101,klaus-michael kuehne,12.9,82,shipping,germany,,,,,,
101,eric schmidt,12.9,64,google,united states,software,no,no,no,white,
104,robert kuok,12.8,95,palm oil,shipping,property,malaysia,,,,
105,harold hamm,12.7,73,oil & gas,united states,oil and gas,yes,no,no,white,
106,alisher usmanov,12.6,65,steel,telecom,investments,russia,,,,
107,roman abramovich,12.4,52,steel,investments,russia,,,,,
107,thomas frist,jr,12.4,80,hospitals,united states,healthcare,yes,yes,no,white
107,stefano pessina,12.4,78,drugstores,italy,,,,,,
110,james ratcliffe,12.1,66,chemicals,united kingdom,,,,,,
110,wang wei,12.1,49,package delivery,china,,,,,,
112,robert & philip ng,12,-,real estate,singapore,,,,,,
112,hans rausing,12,93,packaging,sweden,,,,,,
114,david duffield,11.8,78,business software,united states,software,yes,no,no,white,
114,uday kotak,11.8,60,banking,india,,,,,,
114,donald newhouse,11.8,89,media,united states,media,no,yes,yes,white,
117,ken griffin,11.7,50,hedge funds,united states,investment,yes,yes,no,white,
118,david tepper,11.6,61,hedge funds,united states,investment,no,no,no,white,jewish
119,viktor vekselberg,11.5,62,metals,energy,russia,,,,,
120,pierre omidyar,11.4,52,ebay,paypal,united states,software,yes,no,no,middle eastern
121,reinhold wuerth,11.2,84,fasteners,germany,,,,,,
122,kumar birla,11.1,52,commodities,india,,,,,,
122,radhakishan damani,11.1,64,investments,retail,india,,,,,
122,dustin moskovitz,11.1,35,facebook,united states,software,yes,no,no,white,jewish
122,ricardo salinas pliego,11.1,63,retail,media,mexico,,,,,
122,udo & harald tschira,11.1,-,software,germany,,,,,,
127,wang wenyin,11,51,mining,copper products,china,,,,,
128,philip anschutz,10.9,79,investments,united states,investments,no,yes,no,white,
129,john fredriksen,10.8,74,shipping,cyprus,,,,,,
129,luis carlos sarmiento,10.8,86,banking,colombia,,,,,,
129,peter woo,10.8,72,real estate,hong kong,,,,,,
132,alexander otto,10.7,52,real estate,germany,,,,,,
133,gianluigi & rafaela aponte,10.5,79,shipping,switzerland,,,,,,
133,john menard,jr,10.5,79,home improvement stores,united states,retail,yes,no,no,white
133,rodolphe saadé,10.5,49,shipping,france,,,,,,
136,aliko dangote,10.4,62,cement,sugar,flour,nigeria,,,,
137,walter p.j. droege,10.2,66,consulting,germany,,,,,,
138,marcel herrmann telles,9.9,69,beer,brazil,,,,,,
139,mikhail prokhorov,9.8,54,investments,russia,,,,,,
140,german khan,9.7,57,oil,banking,telecom,russia,,,,
140,gordon moore,9.7,90,intel,united states,computers,yes,no,no,white,
140,eduardo saverin,9.7,37,facebook,brazil,,,,,,
143,charles ergen,9.6,66,satellite tv,united states,television,yes,no,no,white,
143,jan koum,9.6,43,whatsapp,united states,software,yes,no,no,white,jewish
143,lei jun,9.6,49,smartphones,china,,,,,,
143,robin li,9.6,50,internet search,china,,,,,,
147,cyrus poonawalla,9.5,78,vaccines,india,,,,,,
147,joseph tsai,9.5,55,e-commerce,canada,,,,,,
149,eyal ofer,9.4,69,real estate,shipping,israel,,,,,
149,ronald perelman,9.4,76,leveraged buyouts,united states,investment,no,no,no,white,jewish
149,quek leng chan,9.4,77,banking,property,malaysia,,,,,
149,wu yajun,9.4,55,real estate,china,,,,,,
153,jim kennedy,9.3,71,media,automotive,united states,television,no,yes,yes,white
153,blair parry-okeden,9.3,69,media,automotive,united states,television,no,yes,yes,white
153,xu shihui,9.3,61,snacks,beverages,china,,,,,
156,mike adenuga,9.2,66,telecom,oil,nigeria,,,,,
156,harry triguboff,9.2,86,real estate,australia,,,,,,
158,andrew beal,9.1,66,banks,real estate,united states,finance,yes,no,no,white
158,graeme hart,9.1,64,investments,new zealand,,,,,,
160,hui wing mau,9,69,real estate,hong kong,,,,,,
160,sun hongbin,9,56,real estate,united states,real estate,yes,no,no,asian,
162,micky arison,8.9,70,carnival cruises,united states,travel,no,yes,yes,white,jewish
162,james goodnight,8.9,76,software,united states,software,yes,no,no,white,
162,pang kang,8.9,63,soy sauce maker,china,,,,,,
162,viktor rashnikov,8.9,70,steel,russia,,,,,,
162,carlos alberto sicupira,8.9,71,beer,brazil,,,,,,
167,gautam adani,8.7,57,commodities,ports,india,,,,,
167,leonid fedun,8.7,63,oil,russia,,,,,,
167,stanley kroenke,8.7,71,sports,real estate,united states,real estate,no,yes,yes,white
167,jorn rausing,8.7,59,packaging,sweden,,,,,,
171,gong hongjia,8.6,54,video surveillance,hong kong,,,,,,
171,michael kadoorie,8.6,78,hotels,energy,hong kong,,,,,
173,giorgio armani,8.5,85,luxury goods,italy,,,,,,
174,sun piaoyang,8.4,60,pharmaceuticals,china,,,,,,
174,august von finck,8.4,89,investments,germany,,,,,,
174,galen weston,8.4,78,retail,canada,,,,,,
174,zong qinghou,8.4,73,beverages,china,,,,,,
178,carl cook,8.3,56,medical devices,united states,healthcare,no,yes,yes,white,
178,charles schwab,8.3,81,discount brokerage,united states,finance,yes,no,no,white,
178,george soros,8.3,88,hedge funds,united states,finance,no,no,no,white,jewish
181,johann graf,8.1,72,gambling,austria,,,,,,
181,seo jung-jin,8.1,61,biotech,south korea,,,,,,
183,ernesto bertarelli,8,53,biotech,investments,switzerland,,,,,
183,michael platt,8,51,hedge funds,united kingdom,,,,,,
185,finn rausing,7.9,64,packaging,sweden,,,,,,
185,kirsten rausing,7.9,67,packaging,sweden,,,,,,
187,david geffen,7.8,76,movies,record labels,united states,media,yes,no,no,white
187,edward johnson,iii.,7.8,89,money management,united states,finance,no,yes,yes,white
187,ma jianrong,7.8,55,textiles,apparel,china,,,,,
190,patrick drahi,7.7,55,telecom,france,,,,,,
191,george kaiser,7.6,76,oil & gas,banking,united states,oil and gas,no,yes,no,white
191,stephen ross,7.6,79,real estate,united states,real estate,no,no,no,white,jewish
191,dilip shanghvi,7.6,63,pharmaceuticals,india,,,,,,
191,eric wittouck,7.6,72,investments,belgium,,,,,,
195,alexei kuzmichev,7.5,56,oil,banking,telecom,russia,,,,
195,david reuben,7.5,80,investments,real estate,united kingdom,,,,,
195,simon reuben,7.5,78,real estate,investments,united kingdom,,,,,
198,alberto bailleres gonzalez,7.4,87,mining,mexico,,,,,,
198,massimiliana landini aleotti,7.4,76,pharmaceuticals,italy,,,,,,
200,herbert kohler,jr,7.3,80,plumbing fixtures,united states,home goods,no,yes,yes,white
200,sri prakash lohia,7.3,66,petrochemicals,indonesia,,,,,,
200,nicky oppenheimer,7.3,74,diamonds,south africa,,,,,,
203,goh cheng liang,7.2,92,paints,singapore,,,,,,
203,john malone,7.2,78,cable television,united states,television,no,no,no,white,
