2021_us_rank,name,2021_net worth
260,archie aldis emmerson,3.2
260,don hankey,3.2
260,daniel och,3.2
260,patrick ryan,3.2
260,john sall,3.2
260,bernard saul,3.2
260,barry sternlicht,3.2
260,denise york,3.2
268,nathan blecharczyk,3.1
268,brian chesky,3.1
268,joe gebbia,3.1
268,steven klinsky,3.1
268,thai lee,3.1
268,eric lefkofsky,3.1
268,gwendolyn sontheim meyer,3.1
268,mark stevens,3.1
268,herbert wertheim,3.1
268,william wrigley,3.1
278,ben ashkenazy,3
278,william conway,3
278,barry diller,3
278,bennett dorrance,3
278,allan goldman,3
278,jane goldman,3
278,amy goldman fowler,3
278,james irsay,3
278,peter kellogg,3
278,diane kemper,3
278,osman kibar,3
278,sheldon lavin,3
278,james leprino,3
278,joseph liemandt,3
278,lynsi snyder,3
278,jeff sutton,3
278,steve wynn,3
295,ron baron,2.9
295,jimmy haslam,2.9
295,daniel loeb,2.9
295,haim saban,2.9
299,william berkley,2.8
299,norman braman,2.8
299,nick caporella,2.8
299,austen cargill,2.8
299,james cargill,2.8
299,john catsimatidis,2.8
299,steve conine,2.8
299,john henry,2.8
299,b. wayne hughes,2.8
299,william lauder,2.8
299,pablo legorreta,2.8
299,marianne liebmann,2.8
299,stephen mandel,2.8
299,drayton mclane,2.8
299,ira rennert,2.8
299,alejandro santo domingo,2.8
299,andres santo domingo,2.8
299,niraj shah,2.8
299,todd wanek,2.8
299,kelcy warren,2.8
319,john paul dejoria,2.7
319,james jannard,2.7
319,chris larsen,2.7
319,jeffrey lurie,2.7
319,sean parker,2.7
319,richard peery,2.7
319,penny pritzker,2.7
319,mark shoen,2.7
327,jeff green,2.6
327,jeremy jacobs,2.6
327,travis kalanick,2.6
327,jim koch,2.6
327,aerin lauder,2.6
327,jean (gigi) pritzker,2.6
327,herb simon,2.6
327,dan snyder,2.6
327,warren stephens,2.6
327,oprah winfrey,2.6
327,jon yarbrough,2.6
327,mortimer zuckerman,2.6
339,brian acton,2.5
339,john arrillaga,2.5
339,leon g. cooperman,2.5
339,phillip frost,2.5
339,brad kelley,2.5
339,c. dean metropoulos,2.5
339,h. ross perot,2.5
339,john pritzker,2.5
339,rodney sacks,2.5
339,leonard schleifer,2.5
339,pat stryker,2.5
339,glen taylor,2.5
339,donald trump,2.5
339,vincent viola,2.5
353,jim breyer,2.4
353,james clark,2.4
353,john fisher,2.4
353,vinod khosla,2.4
353,daniel pritzker,2.4
353,charles zegar,2.4
359,sid bass,2.3
359,aneel bhusri,2.3
359,todd christopher,2.3
359,jim coulter,2.3
359,doris fisher,2.3
359,rakesh gangwal,2.3
359,valentin gapontsev,2.3
359,noam gottesman,2.3
359,joseph grendys,2.3
359,jim kavanaugh,2.3
359,clayton mathile,2.3
359,stewart rahr,2.3
359,chad richison,2.3
359,phil ruffin,2.3
359,brian sheth,2.3
359,e. joe shoen,2.3
359,kavitark ram shriram,2.3
359,ty warner,2.3
359,jerry yang,2.3
378,bill austin,2.2
378,timothy boyle,2.2
378,robert duggan,2.2
378,david gottesman,2.2
378,jeffrey gundlach,2.2
378,jim mckelvey,2.2
378,bob parsons,2.2
378,phillip t. (terry) ragon,2.2
378,j. joe ricketts,2.2
378,alice schwartz,2.2
378,ted turner,2.2
378,david walentas,2.2
378,evan williams,2.2
391,william ackman,2.1
391,jose e. feliciano,2.1
391,gerald ford,2.1
391,gordon getty,2.1
391,alec gores,2.1
391,bradley jacobs,2.1
391,bruce karsh,2.1
391,howard marks,2.1
391,william stone,2.1
391,peter thiel,2.1
